File Size (GB) ,Parallel Execution Time (ms) ,Sequential Execution Time (ms),Improvement,Speedup
6.4,10433,14108,26.04905018,1.352247676
6.45,9998,14693,31.9539917,1.469593919
6.5,9653,16029,39.77790255,1.660520046
6.55,10287,16471,37.54477567,1.601147079
6.6,10362,16394,36.79394901,1.582127003
6.65,9813,17457,43.78759237,1.778966677
6.7,10354,16379,36.7849075,1.581900715
6.75,11067,16177,31.58805712,1.46173308
6.8,10688,15400,30.5974026,1.440868263
6.85,11250,15044,25.21935655,1.337244444
6.9,11410,16125,29.24031008,1.413234005
6.95,10408,18221,42.87909555,1.75067256
7,9930,17746,44.04372816,1.787109768
7.05,10986,15942,31.08769289,1.451119607
7.1,11644,16177,28.02126476,1.38929921
7.15,11279,15544,27.43823984,1.37813636
7.2,11325,17625,35.74468085,1.556291391
7.25,10710,18043,40.64180014,1.684687208
7.3,11504,17351,33.69834592,1.508257997
7.35,10667,16603,35.75257484,1.55648261
7.4,11181,18584,39.83534223,1.662105357
7.45,12265,18549,33.87783708,1.512352222
7.5,12034,18179,33.80273942,1.51063653
7.55,10874,19155,43.23153224,1.761541291
7.6,13390,19163,30.12576319,1.431142644
7.65,11469,17841,35.7154868,1.555584619
7.7,12488,17638,29.19832181,1.4123959
7.75,12918,17619,26.68142346,1.363910822
7.8,11699,17688,33.85911352,1.511924096
7.85,13488,17446,22.68714892,1.293446026
7.9,13329,18045,26.13466334,1.35381499
7.95,12944,18137,28.63207807,1.40118974
8,12543,18314,31.51141203,1.460097265
8.05,12889,20118,35.93299533,1.560865855
8.1,13946,22138,37.00424609,1.587408576
8.15,12702,19871,36.07770117,1.564399307
8.2,12111,19336,37.36553579,1.596565106
8.25,12391,23610,47.51800085,1.905415221
8.3,14011,21391,34.50049086,1.526728999
8.35,14799,20358,27.30621869,1.375633489
8.4,13143,19663,33.15872451,1.496081564
8.45,13773,20246,31.97174751,1.469977492
8.5,13578,22171,38.75783681,1.632861983
8.55,13241,20547,35.55750231,1.551771014
8.6,13702,20583,33.4305009,1.502189461
8.65,13756,20268,32.12946517,1.473393428
8.7,13340,21379,37.60232003,1.602623688
8.75,13324,20913,36.28843303,1.569573702
8.8,13544,24211,44.05848581,1.787581217
8.85,15861,21486,26.17983803,1.354643465
8.9,13221,20623,35.89196528,1.559866878
8.95,13538,24512,44.76990862,1.81060718
9,14190,20056,29.24810531,1.413389711
9.05,13047,22784,42.73613062,1.746301832
9.1,13421,24096,44.30195883,1.795395276
9.15,14107,22472,37.2241011,1.59296803
9.2,14021,22717,38.27970243,1.620212538
9.25,14427,20736,30.42534722,1.437305053
9.3,13376,22231,39.83176645,1.662006579
9.35,15308,20472,25.22469715,1.337339953
9.4,14497,24265,40.25551205,1.673794578
9.45,15054,24497,38.54757725,1.627275143
9.5,15269,25331,39.72207967,1.658982252
9.55,13625,24348,44.04057828,1.787009174
9.6,15266,24952,38.81853158,1.634481855
9.65,14999,24128,37.83570955,1.608640576
9.7,14855,23676,37.25713803,1.593806799
9.75,15287,21940,30.32360985,1.435206385
9.8,14455,21449,32.60758077,1.48384642
9.85,15296,22192,31.07426099,1.45083682
9.9,15398,21991,29.98044655,1.42817249
9.95,15353,22514,31.80687572,1.4664235
10,15456,27570,43.9390642,1.783773292
